Year,Country,Associated Dis,Dis Mag Value,Latitude,Longitude,Total Deaths
1902,Guatemala,Tsunami/Tidal wave,8.0,14.0,-91.0,2000.0
1905,India,,8.0,32.04,76.16,20000.0
1906,Chile,Tsunami/Tidal wave,8.0,33.05,71.4,20000.0
1906,Colombia,Tsunami/Tidal wave,9.0,1.51,-78.46,400.0
1907,China,,7.0,38.5,69.9,12000.0
1909,France,,6.0,44.05,6.14,46.0
1910,Algeria,,6.0,36.0,4.0,12.0
1914,Indonesia,Tsunami/Tidal wave,8.0,-3.924,101.82,20.0
1917,China,,7.0,28.0,104.0,1800.0
1917,Guatemala,,6.0,14.38,-90.22,2650.0
1917,Indonesia,,7.0,-7.0,116.0,15000.0
1918,China,Tsunami/Tidal wave,7.0,23.5,117.0,10000.0
1920,China,"Slide (land, mud, snow, rock)",9.0,36.888,105.606,180000.0
1922,Chile,Tsunami/Tidal wave,9.0,-28.553,-70.755,1000.0
1923,China,,7.0,31.295,100.75,5000.0
1924,Ecuador,,7.0,-1.29,-78.52,40.0
1925,China,,7.0,25.713,100.422,5000.0
1927,Indonesia,Tsunami/Tidal wave,6.0,-0.842,120.764,50.0
1927,China,,8.0,37.645,102.489,40912.0
1928,Canada,,7.0,48.6,-58.0,27.0
1928,Indonesia,,3.0,-8.3,121.7,128.0
1932,Indonesia,,7.0,0.5,126.0,6.0
1933,China,,8.0,31.9,103.4,10000.0
1936,Indonesia,Tsunami/Tidal wave,7.0,6.1,94.7,9.0
1939,Chile,Tsunami/Tidal wave,8.0,-36.305,-72.315,30000.0
1939,Ghana,Tsunami/Tidal wave,6.0,5.552,-0.628,22.0
1943,Chile,Tsunami/Tidal wave,8.0,-31.432,-71.475,12.0
1943,Indonesia,,7.0,-8.591,109.803,213.0
1944,Argentina,,7.0,-31.372,68.436,10000.0
1946,Chile,Tsunami/Tidal wave,8.0,-26.5,-70.5,2.0
1946,Dominican Republic (the),Tsunami/Tidal wave,8.0,19.25,-69.0,73.0
1949,Ecuador,"Slide (land, mud, snow, rock)",7.0,-1.5,-78.2,6000.0
1949,Chile,Tsunami/Tidal wave,7.0,-38.0,-73.5,35.0
1949,Chile,Tsunami/Tidal wave,8.0,-54.0,-71.0,6.0
1950,India,"Slide (land, mud, snow, rock)",9.0,28.5,96.5,1500.0
1953,Chile,Tsunami/Tidal wave,8.0,-37.093,-72.866,12.0
1953,Cyprus,Tsunami/Tidal wave,6.0,34.741,32.335,40.0
1953,Greece,Tsunami/Tidal wave,7.0,38.182,20.942,476.0
1953,Chile,,7.0,-22.1,-68.7,3.0
1954,Algeria,Tsunami/Tidal wave,7.0,36.283,1.467,1250.0
1954,Greece,,7.0,39.3,22.2,31.0
1955,China,,8.0,30.0,101.8,39.0
1955,Egypt,,6.0,32.2,29.6,20.0
1956,Greece,Tsunami/Tidal wave,8.0,36.664,25.957,53.0
1956,Afghanistan,,8.0,35.1,67.5,100.0
1956,India,,6.0,23.0,70.0,113.0
1958,Indonesia,,7.0,-9.5,112.5,8.0
1960,Chile,Volcanic activity,10.0,-38.143,-73.407,6000.0
1960,Algeria,,6.0,36.0,4.1,57.0
1961,Ethiopia,,7.0,10.4,39.9,30.0
1962,Albania,,6.0,40.9,19.5,15.0
1962,Colombia,,7.0,5.173,-76.352,47.0
1965,Indonesia,Tsunami/Tidal wave,8.0,-2.608,-125.952,71.0
1965,Chile,,7.0,-32.522,-71.233,400.0
1965,Algeria,,6.0,35.7,4.4,2.0
1965,Greece,,6.0,39.4,24.0,38.0
1966,Chile,,8.0,-25.494,-70.55,4.0
1966,Greece,,6.0,39.2,22.0,1.0
1966,Greece,,6.0,37.5,22.1,1.0
1967,Indonesia,Tsunami/Tidal wave,6.0,-3.7,119.3,71.0
1967,Albania,,7.0,41.386,20.532,11.0
1967,Colombia,,7.0,2.849,-74.798,61.0
1967,France,,5.0,43.2,-0.5,1.0
1967,Greece,,6.0,39.5,21.2,9.0
1967,Indonesia,,6.0,-8.965,113.017,54.0
1967,India,,7.0,17.412,73.885,177.0
1968,Greece,Tsunami/Tidal wave,7.0,39.368,24.957,19.0
1968,Indonesia,,8.0,0.157,119.802,200.0
1969,China,,6.0,22.317,111.8,3000.0
1969,Ethiopia,,6.0,11.9,41.21,24.0
1969,Indonesia,,7.0,-3.201,118.904,64.0
1970,China,,7.0,24.185,102.543,10000.0
1970,Ecuador,,7.0,-4.026,-80.542,29.0
1970,India,,5.0,21.7,73.0,26.0
1971,Chile,Tsunami/Tidal wave,8.0,-32.601,-71.076,85.0
1973,Costa Rica,,7.0,10.679,-84.759,21.0
1974,China,,7.0,28.4,104.1,20000.0
1975,China,,7.0,40.641,122.58,2000.0
1975,India,,7.0,32.455,78.43,47.0
1976,Afghanistan,,6.0,36.61,67.79,50.0
1976,China,,8.0,39.57,117.978,242000.0
1976,Ecuador,,7.0,0.782,79.804,10.0
1976,Guatemala,,8.0,15.324,-89.101,23000.0
1976,Indonesia,,7.0,-4.603,140.091,420.0
1976,Indonesia,,7.0,-8.17,114.888,573.0
1976,Indonesia,,7.0,-4.517,139.918,133.0
1977,Indonesia,Tsunami/Tidal wave,8.0,-11.164,118.378,185.0
1977,Argentina,,7.0,-31.028,-67.767,70.0
1977,Bulgaria,,6.0,45.77,26.76,20.0
1978,Greece,,6.0,40.739,23.229,50.0
1901,Japan,Tsunami/Tidal wave,8.0,40.5,142.5,18.0
1902,Soviet Union,,6.0,40.8,72.3,4562.0
1903,Turkey,,6.0,39.09,42.3,3560.0
1905,Japan,Tsunami/Tidal wave,7.0,37.4,142.6,41.0
1905,Italy,,7.0,38.67,16.07,557.0
1906,United States of America (the),Fire,8.0,37.67,-122.48,700.0
1906,Taiwan (Province of China),,7.0,23.6,170.5,1258.0
1907,Jamaica,,7.0,18.2,-76.8,1200.0
1908,Italy,Tsunami/Tidal wave,7.0,38.17,15.58,75000.0
1909,Iran (Islamic Republic of),,8.0,33.55,48.48,5000.0
1912,Turkey,Tsunami/Tidal wave,8.0,40.41,27.15,923.0
1913,Peru,,6.0,-14.2,-72.9,150.0
1914,Japan,,7.0,39.2,139.8,94.0
1915,Italy,,8.0,42.02,13.26,29980.0
1915,United States of America (the),,6.0,32.47,-115.33,6.0
1918,Philippines (the),Tsunami/Tidal wave,8.0,8.29,124.4,100.0
1918,Puerto Rico,Tsunami/Tidal wave,8.0,18.06,-67.54,116.0
1920,Italy,,6.0,44.3,10.3,1400.0
1923,Japan,Fire,8.0,35.413,139.298,143000.0
1923,Iran (Islamic Republic of),,6.0,35.2,59.2,2200.0
1925,United States of America (the),,6.0,34.25,-119.41,13.0
1927,Jordan,,6.0,31.922,35.633,268.0
1927,Japan,,7.0,35.632,135.013,3022.0
1929,New Zealand,"Slide (land, mud, snow, rock)",8.0,-41.55,172.25,17.0
1929,Iran (Islamic Republic of),,7.0,37.8,57.8,3253.0
1930,Myanmar,Tsunami/Tidal wave,8.0,17.86,96.43,500.0
1930,Iran (Islamic Republic of),,7.0,38.087,44.781,1360.0
1930,Italy,,6.0,40.922,15.377,1883.0
1930,Japan,,7.0,35.05,139.129,259.0
1930,Myanmar,,7.0,18.233,96.298,36.0
1931,Nicaragua,,6.0,13.2,-85.7,1000.0
1931,New Zealand,,7.0,-39.659,176.42,256.0
1931,Solomon Islands,,8.0,11.117,161.11,50.0
1933,United States of America (the),Tsunami/Tidal wave,6.0,33.62,117.97,116.0
1933,Japan,,8.0,39.224,144.622,3000.0
1935,Pakistan,Tsunami/Tidal wave,8.0,29.5,66.8,60000.0
1935,Taiwan (Province of China),,6.0,24.3,124.3,3276.0
1935,Taiwan (Province of China),,7.0,24.6,120.8,2746.0
1938,Turkey,,7.0,39.508,33.872,149.0
1939,Turkey,Tsunami/Tidal wave,8.0,39.771,39.57,32962.0
1939,Turkey,,6.0,39.7,10.4,13.0
1939,Turkey,,6.0,39.209,27.164,60.0
1940,Peru,Tsunami/Tidal wave,8.0,-10.5,-77.0,179.0
1940,Romania,,7.0,45.8,26.8,980.0
1940,United States of America (the),,7.0,32.733,-115.5,9.0
1941,Myanmar,,7.0,22.408,99.814,15.0
1942,Turkey,,7.0,40.87,36.732,3000.0
1943,Japan,,7.0,35.448,133.993,1400.0
1943,Peru,,5.0,-14.2,-71.5,200.0
1943,Turkey,,8.0,40.916,33.562,4020.0
1944,Japan,Tsunami/Tidal wave,8.0,33.682,36.204,1223.0
1944,Turkey,,8.0,40.696,32.992,3959.0
1944,Turkey,,7.0,39.502,26.596,27.0
1945,Japan,Tsunami/Tidal wave,7.0,34.612,137.064,2306.0
1945,Pakistan,Tsunami/Tidal wave,8.0,24.927,63.601,4000.0
1946,Japan,Tsunami/Tidal wave,8.0,33.116,135.895,2000.0
1946,United States of America (the),Tsunami/Tidal wave,9.0,53.492,-162.832,165.0
1946,Peru,,7.0,-8.41,-77.535,1400.0
1946,Soviet Union,,7.0,39.826,54.648,400.0
1946,Turkey,,6.0,39.3,41.2,840.0
1947,Iran (Islamic Republic of),,7.0,33.621,58.643,400.0
1947,Peru,,8.0,-10.973,-74.725,233.0
1948,Japan,,7.0,36.5,136.0,5131.0
1948,Philippines (the),,8.0,10.5,122.0,72.0
1948,Soviet Union,,7.0,37.95,58.32,110000.0
1949,Soviet Union,,7.0,39.2,70.8,3500.0
1949,Turkey,,7.0,39.0,40.5,320.0
1949,United States of America (the),,7.0,47.167,-122.617,8.0
1950,Peru,,6.0,-13.5,-72.0,83.0
1951,Nicaragua,Tsunami/Tidal wave,6.0,13.0,-87.5,500.0
1951,El Salvador,,7.0,13.3,-87.8,1100.0
1951,Turkey,,7.0,40.8,33.4,54.0
1952,Japan,Tsunami/Tidal wave,8.0,42.084,143.899,33.0
1952,Turkey,,5.0,36.5,35.5,20.0
1952,Turkey,,6.0,39.9,41.7,103.0
1952,United States of America (the),,8.0,34.958,-118.998,12.0
1952,United States of America (the),,6.0,35.333,-118.917,2.0
1953,Iran (Islamic Republic of),,7.0,35.385,54.979,970.0
1953,Peru,,7.0,-3.552,-80.636,9.0
1953,Turkey,,7.0,40.175,27.648,1200.0
1954,Philippines (the),,7.0,13.0,123.9,13.0
1955,Philippines (the),,6.0,7.674,124.081,400.0
1956,Iran (Islamic Republic of),,6.0,27.407,54.462,350.0
1956,Lebanon,,6.0,35.5,35.5,136.0
1957,Mexico,Tsunami/Tidal wave,8.0,16.5,-99.1,160.0
1957,Iran (Islamic Republic of),,7.0,36.277,52.778,2500.0
1957,Iran (Islamic Republic of),,7.0,34.3,47.8,3000.0
1957,Mongolia,,8.0,45.5,99.5,1200.0
1957,Tunisia,,6.0,36.2,8.9,13.0
1957,Turkey,,7.0,40.7,30.9,53.0
1958,Iran (Islamic Republic of),,7.0,34.4,47.9,191.0
1958,Peru,,7.0,-16.5,-72.0,28.0
1959,United States of America (the),Tsunami/Tidal wave,7.0,44.712,-111.215,28.0
1959,Mexico,,6.0,18.22,-94.416,25.0
1960,Morocco,Tsunami/Tidal wave,6.0,30.45,-9.62,12000.0
1960,Peru,Tsunami/Tidal wave,8.0,-15.75,-72.75,63.0
1960,Iran (Islamic Republic of),,6.0,28.0,54.5,480.0
1962,Iran (Islamic Republic of),,7.0,35.656,49.843,12000.0
1962,Italy,,6.0,41.4,15.5,16.0
1963,Libya,,5.0,32.6,21.0,300.0
1964,Japan,Tsunami/Tidal wave,7.0,38.67,139.195,25.0
1964,United States of America (the),Tsunami/Tidal wave,9.0,60.908,-147.339,131.0
1964,Mexico,,7.0,18.136,-100.605,45.0
1964,Turkey,,7.0,40.203,28.206,23.0
1964,Taiwan (Province of China),,7.0,23.2,120.6,107.0
1965,El Salvador,,6.0,13.5,-89.3,125.0
1965,United States of America (the),,7.0,47.4,-122.3,7.0
1966,Peru,Tsunami/Tidal wave,8.0,-10.665,-78.228,120.0
1966,Nepal,,6.0,29.706,80.935,80.0
1966,Turkey,,7.0,39.235,41.572,2394.0
1966,Uganda,,1.0,0.622,29.863,104.0
1967,Turkey,,7.0,40.751,30.8,183.0
1968,Japan,Tsunami/Tidal wave,7.0,40.5,140.43,47.0
1968,Mexico,Tsunami/Tidal wave,6.0,15.5,-92.7,15.0
1968,Turkey,Tsunami/Tidal wave,7.0,41.86,32.463,24.0
1968,Iran (Islamic Republic of),,5.0,39.2,44.3,38.0
1968,Iran (Islamic Republic of),,7.0,34.158,59.083,10000.0
1968,Italy,,6.0,37.702,13.033,224.0
1968,New Zealand,,7.0,-41.659,172.02,3.0
1968,Peru,,7.0,-5.61,-77.086,11.0
1969,Iran (Islamic Republic of),,6.0,37.1,57.9,50.0
1969,Peru,,7.0,-11.841,-75.051,150.0
1969,Turkey,,7.0,38.515,28.546,53.0
1970,Peru,"Slide (land, mud, snow, rock)",8.0,-9.183,-78.737,66794.0
1970,Papua New Guinea,"Slide (land, mud, snow, rock)",7.0,-4.999,145.396,15.0
1970,Iran (Islamic Republic of),,7.0,37.733,55.885,176.0
1970,Peru,,7.0,-4.026,-80.542,29.0
1970,Turkey,,7.0,39.098,29.57,1086.0
1971,Italy,,5.0,42.5,11.8,22.0
1971,Turkey,,6.0,37.6,29.8,57.0
1971,Turkey,,7.0,38.934,40.653,878.0
1971,United States of America (the),,7.0,34.416,-118.37,65.0
1972,Iran (Islamic Republic of),,7.0,28.415,52.765,5057.0
1972,Italy,,5.0,43.8,13.3,1.0
1972,Nicaragua,,6.0,12.184,-86.223,10000.0
1972,Pakistan,,6.0,36.0,73.4,100.0
1972,Peru,,6.0,-6.855,-76.726,12.0
1973,Mexico,,8.0,18.481,-102.996,56.0
1973,Mexico,,7.0,18.267,-96.598,500.0
1973,Philippines (the),,7.0,13.372,122.787,14.0
1974,Japan,Tsunami/Tidal wave,7.0,34.522,138.74,30.0
1974,Pakistan,Tsunami/Tidal wave,6.0,35.1,72.9,4700.0
1974,Peru,Tsunami/Tidal wave,8.0,-12.265,-77.795,78.0
1975,Solomon Islands,,8.0,-7.104,155.152,200.0
1975,Turkey,,7.0,38.474,40.723,2385.0
1976,Philippines (the),Tsunami/Tidal wave,8.0,6.262,124.023,6000.0
1976,Iran (Islamic Republic of),,6.0,33.8,59.15,16.0
1976,Iceland,,6.0,66.157,-16.582,1.0
1976,Italy,,7.0,46.356,13.275,922.0
1976,Turkey,,5.0,41.13,43.01,2.0
1976,Turkey,,5.0,37.7,28.89,4.0
1976,Turkey,,7.0,39.121,44.029,3840.0
1977,Solomon Islands,Tsunami/Tidal wave,7.0,-9.828,160.323,34.0
1977,Iran (Islamic Republic of),,7.0,27.609,56.393,167.0
1977,Iran (Islamic Republic of),,6.0,31.98,50.68,352.0
1977,Iran (Islamic Republic of),,5.0,38.934,44.38,3.0
1977,Iran (Islamic Republic of),,5.0,27.69,56.57,3.0
1977,Iran (Islamic Republic of),,6.0,30.95,56.47,589.0
1977,Philippines (the),,7.0,16.773,122.327,1.0
1977,Romania,,8.0,45.772,26.761,1641.0
1977,Tonga,,7.0,-22.878,-175.9,1.0
1977,Turkey,,5.0,38.56,40.02,30.0
1978,Japan,Tsunami/Tidal wave,7.0,34.809,139.259,25.0
1978,Iran (Islamic Republic of),,7.0,33.386,57.434,25000.0
1978,Italy,,6.0,38.391,15.066,5.0
1978,Japan,,8.0,38.19,142.028,28.0
1941,Yemen Arab Rep,,6.0,16.4,43.5,1200.0
1950,Venezuela (Bolivarian Republic of),Tsunami/Tidal wave,7.0,10.5,-68.0,100.0
1963,Yugoslavia,,6.0,42.1,21.3,1070.0
1967,Venezuela (Bolivarian Republic of),Tsunami/Tidal wave,7.0,10.559,-67.33,240.0
1968,Yugoslavia,,5.0,42.1,19.3,1.0
1969,Yugoslavia,,6.0,44.9,17.3,15.0
1969,South Africa,,6.0,-33.268,19.386,9.0
1979,Colombia,Tsunami/Tidal wave,8.0,1.598,-79.358,579.0
1979,Albania,,7.0,42.096,19.209,35.0
1979,China,,5.0,31.452,119.241,42.0
1979,Colombia,,7.0,4.805,-76.217,60.0
1980,Algeria,Tsunami/Tidal wave,7.0,36.195,1.354,2633.0
1980,Azores Islands,,7.0,38.815,-27.78,69.0
1980,Ecuador,,6.0,-1.948,-80.017,8.0
1980,Greece,,6.0,39.203,22.729,1.0
1981,Colombia,"Slide (land, mud, snow, rock)",5.0,8.117,-72.527,10.0
1981,Greece,"Slide (land, mud, snow, rock)",6.0,39.481,20.699,2.0
1981,China,,7.0,30.927,101.098,150.0
1981,Greece,,7.0,38.222,22.934,22.0
1982,Afghanistan,,7.0,36.148,69.011,500.0
1982,Albania,,6.0,40.883,19.59,1.0
1982,China,,6.0,31.907,99.931,10.0
1983,Costa Rica,"Slide (land, mud, snow, rock)",7.0,9.652,-83.688,2.0
1983,Chile,Tsunami/Tidal wave,7.0,-26.535,-70.563,4.0
1983,Afghanistan,,7.0,36.372,70.738,12.0
1983,Belgium,,5.0,50.37,5.31,2.0
1983,China,,5.0,35.206,115.213,34.0
1983,Colombia,,5.0,2.461,-76.686,250.0
1983,Costa Rica,,7.0,8.717,-83.123,10.0
1983,Guinea,,6.0,11.866,-13.529,443.0
1984,Afghanistan,,6.0,34.26,70.28,1.0
1985,Argentina,,7.0,-33.053,-68.467,6.0
1985,Chile,,8.0,-33.135,-71.871,180.0
1985,China,,6.0,25.926,102.871,22.0
1985,China,,7.0,39.431,75.224,67.0
1985,Algeria,,6.0,36.46,6.791,30.0
1986,Bulgaria,,5.0,43.12,25.57,3.0
1986,Brazil,,5.0,-3.58,-62.42,1.0
1986,Greece,,6.0,37.02,22.07,20.0
1987,Chile,"Slide (land, mud, snow, rock)",7.0,-19.022,-69.991,5.0
1987,Ecuador,"Slide (land, mud, snow, rock)",7.0,0.151,-77.785,5000.0
1987,Ecuador,"Slide (land, mud, snow, rock)",6.0,-0.978,-78.05,2.0
1987,Algeria,,4.0,35.964,1.374,1.0
1988,Guatemala,"Slide (land, mud, snow, rock)",7.0,13.881,-90.45,5.0
1988,Bangladesh,,6.0,24.688,91.57,2.0
1988,China,,8.0,22.789,99.611,939.0
1978,Iran (Islamic Republic of),,6.0,32.14,49.65,45.0
1978,Mexico,,8.0,16.01,-96.591,9.0
1979,Indonesia,Tsunami/Tidal wave,8.0,-1.679,136.04,2.0
1979,Indonesia,,6.0,-8.21,115.95,34.0
1979,Indonesia,,6.0,-7.656,108.252,26.0
1979,Indonesia,,7.0,-3.299,102.712,5.0
1979,Indonesia,,6.0,-8.39,115.889,32.0
1979,Iran (Islamic Republic of),,7.0,33.897,59.472,199.0
1979,Iran (Islamic Republic of),,7.0,33.918,59.741,350.0
1979,Iran (Islamic Republic of),,7.0,33.962,59.726,16.0
1979,Italy,,6.0,42.812,13.061,5.0
1979,Mexico,,8.0,17.813,-101.276,5.0
1979,Peru,,7.0,-16.39,-72.658,13.0
1980,India,,6.0,32.913,75.633,13.0
1980,Iran (Islamic Republic of),,6.0,34.587,50.652,20.0
1980,Iran (Islamic Republic of),,5.0,34.503,50.59,4.0
1980,Iran (Islamic Republic of),,6.0,35.4,51.26,26.0
1980,Italy,,7.0,40.914,15.366,4689.0
1980,Japan,,6.0,35.45,139.964,2.0
1980,Mexico,,6.0,32.2,-115.122,2.0
1980,Mexico,,7.0,18.211,-98.24,65.0
1980,Nepal,,7.0,29.598,81.092,100.0
1980,Peru,,5.0,-13.347,-74.545,7.0
1981,Indonesia,"Slide (land, mud, snow, rock)",7.0,-4.576,139.232,306.0
1981,Pakistan,"Slide (land, mud, snow, rock)",6.0,35.693,73.594,250.0
1981,Iran (Islamic Republic of),,7.0,29.913,57.715,2000.0
1981,Iran (Islamic Republic of),,7.0,30.013,57.794,1200.0
1981,Italy,,5.0,41.051,14.601,12.0
1981,Mexico,,7.0,18.048,-102.084,3.0
1981,Pakistan,,4.0,29.856,66.962,6.0
1981,Peru,,5.0,-13.166,-74.522,10.0
1981,Peru,,5.0,-13.144,-74.376,8.0
1982,Indonesia,"Slide (land, mud, snow, rock)",6.0,-8.405,123.08,13.0
1982,Japan,Tsunami/Tidal wave,7.0,42.158,142.361,110.0
1982,Mexico,,7.0,16.558,-98.358,9.0
1982,Peru,,6.0,-12.69,-76.065,3.0
1983,Philippines (the),"Slide (land, mud, snow, rock)",7.0,18.231,120.86,19.0
1983,Iran (Islamic Republic of),"Slide (land, mud, snow, rock)",5.0,35.953,52.264,30.0
1983,Japan,"Slide (land, mud, snow, rock)",5.0,35.5,139.07,1.0
1983,Japan,Tsunami/Tidal wave,8.0,40.462,139.102,102.0
1983,Iran (Islamic Republic of),,6.0,36.948,49.18,3.0
1983,Peru,,5.0,-4.843,-78.103,10.0
1983,Papua New Guinea,,6.0,5.392,151.868,10.0
1984,Japan,"Slide (land, mud, snow, rock)",7.0,36.39,138.1,20.0
1984,Indonesia,,6.0,-2.823,118.806,2.0
1984,India,,6.0,24.4,92.34,20.0
1984,Italy,,6.0,43.26,12.558,3.0
1984,Italy,,5.0,42.1,13.5,3.0
1984,Pakistan,,7.0,34.07,71.15,4.0
1985,Indonesia,,6.0,-4.13,136.049,10.0
1985,Iran (Islamic Republic of),,5.0,28.399,52.997,1.0
1985,Mexico,,8.0,18.19,-102.533,9500.0
1985,Pakistan,,7.0,36.19,70.896,5.0
1985,Philippines (the),,7.0,7.758,123.544,2.0
1986,India,,5.0,32.128,76.374,6.0
1986,Iran (Islamic Republic of),,6.0,29.962,51.582,1.0
1986,Peru,,6.0,-13.32,-71.57,15.0
1986,Peru,,5.0,-9.505,-77.512,1.0
1987,Indonesia,"Slide (land, mud, snow, rock)",7.0,-8.247,124.155,125.0
1987,Papua New Guinea,"Slide (land, mud, snow, rock)",7.0,-6.088,147.689,1.0
1987,Indonesia,,6.0,2.244,98.866,2.0
1987,Iran (Islamic Republic of),,5.0,34.076,48.266,2.0
1987,Japan,,6.0,35.38,140.214,2.0
1987,Mexico,,7.0,33.015,-115.852,2.0
1987,New Zealand,,7.0,-37.965,176.765,1.0
1988,India,,7.0,26.755,86.616,382.0
1988,Iran (Islamic Republic of),,6.0,29.974,51.679,1.0
1988,Nepal,,7.0,26.755,86.616,709.0
1979,Yugoslavia,Tsunami/Tidal wave,7.0,42.096,19.209,121.0
1982,El Salvador,"Slide (land, mud, snow, rock)",7.0,13.332,-89.387,20.0
1982,Yemen Arab Rep,,6.0,14.701,44.379,1507.0
1983,Turkey,,7.0,40.33,42.187,1346.0
1983,United States of America (the),,7.0,44.058,-113.857,2.0
